YEAR,MO,DY,HR,UV,Tem,Hum
2018,1,12,11,8.23,28.9,48.81
2018,1,12,12,8.58,29.83,47.06
2018,1,12,13,7.33,30.4,46.19
2018,1,12,14,5.02,30.6,46
2018,1,12,15,2.3,30.38,47
2018,1,12,16,0.55,29.79,50.94
2018,1,12,17,0.02,27.93,61.5
2018,1,12,18,0,26.54,68.06
2018,1,12,19,0,25.31,73.44
2018,1,12,20,0,24.44,73.12
2018,1,12,21,0,23.45,73
2018,1,12,22,0,22.34,74.25
2018,1,12,23,0,21.33,77.19
2018,1,13,0,0,20.53,79.44
2018,1,13,1,0,19.98,80.81
2018,1,13,2,0,19.51,82.06
2018,1,13,3,0,19.12,83.5
2018,1,13,4,0,18.9,84.5
2018,1,13,5,0,18.63,85.12
2018,1,13,6,0.02,18.95,82.62
2018,1,13,7,0.5,21.24,72
2018,1,13,8,2.17,24.32,60.81
2018,1,13,9,4.92,26.58,54.12
2018,1,13,10,7.83,28.44,49.25
2018,1,13,11,7.75,29.83,45.88
2018,1,13,12,7.8,30.76,43.88
2018,1,13,13,7.17,31.24,42.88
2018,1,13,14,4.67,31.27,42.88
2018,1,13,15,2.2,30.93,43.62
2018,1,13,16,0.52,30.08,47.31
2018,1,13,17,0.02,27.91,61.56
2018,1,13,18,0,26.36,68.5
2018,1,13,19,0,25.61,72.44
2018,1,13,20,0,25.04,74.75
2018,1,13,21,0,24.41,76.69
2018,1,13,22,0,23.44,79.75
2018,1,13,23,0,22.76,80.12
2018,1,14,0,0,22.27,80.31
2018,1,14,1,0,21.84,80.56
2018,1,14,2,0,21.42,81.5
2018,1,14,3,0,21.16,82.81
2018,1,14,4,0,21.06,83.88
2018,1,14,5,0,20.89,84.62
2018,1,14,6,0.02,21.19,82.5
2018,1,14,7,0.35,22.95,71.94
2018,1,14,8,1.77,25.27,63.31
2018,1,14,9,4.05,27.08,58.06
2018,1,14,10,6,28.55,54.38
2018,1,14,11,6.08,29.68,51.88
2018,1,14,12,5.55,30.3,50.81
2018,1,14,13,4.92,30.3,51.38
2018,1,14,14,3.17,30,52.94
2018,1,14,15,1.52,29.38,55.69
2018,1,14,16,0.4,28.46,60.62
2018,1,14,17,0.02,26.97,72.69
2018,1,14,18,0,25.97,78.56
2018,1,14,19,0,25.45,81
2018,1,14,20,0,24.99,83
2018,1,14,21,0,24.53,84.38
2018,1,14,22,0,24.11,85.38
2018,1,14,23,0,23.76,86
2018,1,15,0,0,23.37,86.69
2018,1,15,1,0,22.96,87
